,Origin,Date,mta_ridership,uber_ridership
0,Alphabet City,2015-01,144765.0,2358.0
1,Alphabet City,2015-02,140310.0,2623.0
2,Alphabet City,2015-03,164124.0,3069.0
3,Alphabet City,2015-04,167128.0,3187.0
4,Alphabet City,2015-05,150542.0,3033.0
5,Alphabet City,2015-06,173785.0,3786.0
6,Alphabet City,2015-07,167681.0,4740.0
7,Alphabet City,2015-08,138619.0,4600.0
8,Alphabet City,2015-09,158098.0,4518.0
9,Alphabet City,2015-10,174006.0,4849.0
10,Alphabet City,2015-11,134542.0,4239.0
11,Alphabet City,2015-12,130757.0,4494.0
12,Alphabet City,2016-01,138238.0,4794.0
13,Alphabet City,2016-02,143823.0,5113.0
14,Alphabet City,2016-03,162814.0,5035.0
15,Alphabet City,2016-04,154064.0,4758.0
16,Alphabet City,2016-05,157908.0,5222.0
17,Alphabet City,2016-06,161485.0,5785.0
18,Alphabet City,2016-07,133810.0,5984.0
19,Alphabet City,2016-08,138954.0,7711.0
20,Alphabet City,2016-09,146801.0,6803.0
21,Alphabet City,2016-10,141917.0,7156.0
22,Alphabet City,2016-11,132023.0,7723.0
23,Alphabet City,2016-12,119379.0,7253.0
24,Alphabet City,2017-01,125418.0,8483.0
25,Alphabet City,2017-02,118843.0,7800.0
26,Alphabet City,2017-03,143509.0,8210.0
27,Alphabet City,2017-04,133627.0,6804.0
28,Alphabet City,2017-05,146003.0,7655.0
29,Alphabet City,2017-06,143209.0,7819.0
30,Alphabet City,2017-07,125425.0,7665.0
31,Alphabet City,2017-08,133752.0,8876.0
32,Alphabet City,2017-09,127058.0,7383.0
33,Alphabet City,2017-10,136130.0,8511.0
34,Alphabet City,2017-11,120603.0,9301.0
35,Alphabet City,2017-12,103687.0,8550.0
36,Astoria,2015-01,840148.0,1533.0
37,Astoria,2015-02,854798.0,2156.0
38,Astoria,2015-03,1045092.0,2208.0
39,Astoria,2015-04,1048256.0,2278.0
40,Astoria,2015-05,981122.0,2348.0
41,Astoria,2015-06,1036598.0,2902.0
42,Astoria,2015-07,1003115.0,3300.0
43,Astoria,2015-08,914308.0,3614.0
44,Astoria,2015-09,996743.0,4293.0
45,Astoria,2015-10,1072588.0,4749.0
46,Astoria,2015-11,883960.0,4469.0
47,Astoria,2015-12,909563.0,4905.0
48,Astoria,2016-01,845982.0,5405.0
49,Astoria,2016-02,889264.0,6372.0
50,Astoria,2016-03,1068727.0,7480.0
51,Astoria,2016-04,993058.0,7243.0
52,Astoria,2016-05,1031294.0,7275.0
53,Astoria,2016-06,1052844.0,7103.0
54,Astoria,2016-07,895527.0,7022.0
55,Astoria,2016-08,994784.0,7799.0
56,Astoria,2016-09,1023365.0,8218.0
57,Astoria,2016-10,1008085.0,8048.0
58,Astoria,2016-11,933017.0,9062.0
59,Astoria,2016-12,864897.0,9329.0
